height,timestamp,open,high,low,close
779643,1678147931,22404.24,22405.14,22399.61,22399.67
779644,1678148194,22395.57,22396.27,22395.0,22395.41
779645,1678148298,22395.0,22403.92,22395.0,22403.73
779646,1678149370,22419.42,22422.6,22411.01,22411.84
779647,1678150180,22397.07,22398.55,22395.61,22398.33
779648,1678150439,22392.78,22406.53,22392.78,22406.3
779649,1678150843,22411.95,22412.59,22411.84,22412.58
779650,1678151283,22424.84,22425.11,22423.25,22423.72
779651,1678151472,22428.85,22430.56,22428.52,22429.76
779652,1678151949,22471.48,22471.89,22469.46,22469.52
779653,1678152934,22449.21,22454.04,22446.17,22448.41
779654,1678152993,22448.41,22451.84,22445.2,22446.8
779655,1678153128,22446.33,22452.68,22445.61,22448.7
779656,1678153689,22453.32,22459.5,22453.19,22457.07
779657,1678154146,22480.23,22484.84,22479.74,22480.55
779658,1678155293,22462.08,22462.08,22459.29,22460.75
779659,1678157402,22489.19,22489.75,22488.3,22489.75
779660,1678157505,22489.75,22492.94,22489.75,22490.62
779661,1678157825,22483.01,22491.95,22482.61,22489.42
779662,1678157896,22489.42,22494.19,22489.05,22493.27
779663,1678158044,22495.27,22499.2,22494.95,22498.39
779664,1678158646,22502.32,22506.52,22501.54,22501.54
779665,1678158716,22501.54,22502.06,22496.65,22498.57
779666,1678159321,22482.6,22482.64,22474.01,22474.01
779667,1678159499,22476.08,22476.58,22470.17,22470.56
779668,1678159983,22470.56,22471.3,22469.23,22470.12
779669,1678160391,22450.76,22452.95,22448.9,22452.28
779670,1678160838,22462.0,22462.57,22458.29,22459.14
779671,1678161241,22462.02,22463.54,22460.18,22461.44
779672,1678163454,22466.42,22467.38,22466.13,22466.63
779673,1678164590,22463.67,22464.42,22463.33,22463.39
779674,1678165158,22475.76,22476.63,22473.65,22474.07
779675,1678165168,22475.76,22476.63,22473.65,22474.07
779676,1678166148,22471.02,22471.39,22470.43,22470.56
779677,1678166168,22470.56,22473.06,22470.34,22471.33
779678,1678166255,22471.33,22472.52,22469.05,22469.36
779679,1678167895,22466.63,22467.18,22464.77,22464.77
779680,1678168400,22458.37,22459.1,22457.78,22458.86
779681,1678168703,22458.6,22458.6,22456.77,22458.3
779682,1678168844,22458.56,22461.01,22457.71,22457.99
779683,1678169159,22457.67,22458.5,22457.45,22458.01
779684,1678169210,22458.01,22458.17,22456.52,22456.66
779685,1678169955,22444.3,22446.42,22432.38,22432.38
779686,1678171594,22438.2,22438.97,22437.35,22438.21
779687,1678172196,22438.41,22439.66,22438.39,22439.6
779688,1678172503,22437.26,22439.54,22435.81,22437.25
779689,1678173353,22445.71,22446.91,22444.81,22446.67
779690,1678173575,22449.08,22449.08,22445.11,22445.42
779691,1678174139,22424.71,22426.65,22424.36,22425.48
779692,1678174802,22433.37,22433.48,22429.02,22429.59
779693,1678174966,22430.2,22430.71,22429.44,22430.65
779694,1678175019,22430.65,22432.47,22428.93,22431.26
779695,1678175738,22425.14,22428.26,22424.95,22427.27
