height,timestamp,open,high,low,close
778767,1677654170,23754.82,23755.0,23748.56,23748.98
778768,1677654225,23748.98,23748.98,23734.57,23735.03
778769,1677654543,23700.05,23716.97,23692.15,23716.97
778770,1677655039,23740.86,23741.15,23726.38,23726.38
778771,1677655084,23726.38,23726.4,23714.46,23723.47
778772,1677655402,23715.6,23721.84,23715.41,23718.76
778773,1677656958,23718.18,23718.18,23709.64,23711.3
778774,1677657159,23713.91,23725.56,23711.98,23725.56
778775,1677657346,23718.59,23718.59,23709.17,23710.14
778776,1677657865,23698.6,23721.95,23692.15,23721.95
778777,1677658727,23747.88,23767.14,23747.88,23762.76
778778,1677659247,23753.07,23758.1,23746.67,23757.91
778779,1677659429,23738.4,23740.87,23729.43,23731.41
778780,1677661669,23829.0,23836.57,23823.44,23833.86
778781,1677662265,23844.78,23846.02,23838.33,23842.48
778782,1677662267,23844.78,23846.02,23838.33,23842.48
778783,1677662873,23794.03,23795.42,23787.95,23795.42
778784,1677663144,23782.5,23783.06,23774.82,23774.82
778785,1677663490,23804.42,23814.07,23804.04,23812.69
778786,1677664796,23762.3,23763.85,23756.99,23758.18
778787,1677666300,23703.9,23718.76,23703.9,23715.81
778788,1677666490,23725.68,23732.67,23725.28,23732.32
778789,1677668125,23761.65,23771.33,23759.12,23769.6
778790,1677668543,23781.59,23782.81,23778.21,23778.39
778791,1677669573,23779.53,23783.76,23777.44,23782.19
778792,1677669576,23779.53,23783.76,23777.44,23782.19
778793,1677669710,23782.77,23783.41,23780.71,23781.76
778794,1677670006,23759.63,23760.17,23746.86,23746.86
778795,1677670522,23759.74,23759.74,23753.15,23754.33
778796,1677671126,23743.62,23743.62,23732.01,23735.82
778797,1677671439,23713.03,23724.94,23713.03,23720.36
778798,1677671659,23718.15,23718.15,23708.42,23709.76
778799,1677672917,23727.39,23732.7,23727.32,23731.75
778800,1677673128,23730.5,23731.73,23729.75,23731.6
778801,1677673170,23731.6,23745.18,23731.41,23744.91
778802,1677674769,23721.03,23721.03,23707.72,23711.47
778803,1677674935,23714.92,23734.91,23714.14,23731.49
778804,1677675023,23732.99,23735.17,23731.3,23733.08
778805,1677675495,23726.95,23732.4,23726.95,23728.91
778806,1677676238,23682.98,23703.58,23682.98,23702.31
778807,1677676554,23687.53,23696.26,23686.6,23694.86
778808,1677677334,23681.66,23682.04,23674.28,23674.37
778809,1677677615,23649.19,23649.93,23631.55,23633.25
778810,1677677777,23637.48,23665.74,23637.48,23662.04
778811,1677678522,23681.27,23690.5,23681.1,23685.32
778812,1677678944,23684.41,23692.8,23684.41,23686.05
778813,1677679769,23664.43,23668.57,23663.6,23668.57
778814,1677679828,23668.57,23678.29,23668.57,23674.65
778815,1677680403,23669.23,23683.23,23668.6,23679.37
778816,1677680981,23688.32,23688.39,23680.8,23682.7
778817,1677681059,23682.7,23697.17,23680.94,23682.26
778818,1677681911,23724.63,23759.36,23720.79,23740.54
778819,1677682325,23810.49,23828.17,23799.56,23800.45
778820,1677682369,23810.49,23828.17,23799.56,23800.45
778821,1677682975,23724.85,23729.28,23682.71,23695.21
778822,1677682971,23724.85,23729.28,23682.71,23695.21
778823,1677683526,23617.96,23650.33,23617.54,23647.78
778824,1677684334,23698.23,23703.0,23680.08,23684.0
778825,1677684896,23670.23,23699.04,23668.4,23696.87
778826,1677685148,23748.16,23749.97,23734.26,23737.19
778827,1677685384,23757.16,23757.16,23735.93,23746.13
778828,1677685571,23728.31,23754.18,23727.32,23737.94
778829,1677685783,23736.82,23755.23,23736.82,23741.83
778830,1677686693,23700.41,23700.7,23682.13,23682.13
778831,1677686860,23677.51,23682.67,23673.13,23676.96
778832,1677687373,23583.63,23588.52,23572.8,23573.01
778833,1677687963,23641.91,23648.41,23638.32,23647.17
778834,1677688175,23629.79,23649.47,23623.08,23629.48
778835,1677688904,23661.92,23714.5,23661.92,23714.5
778836,1677689018,23701.95,23710.21,23697.29,23697.5
778837,1677689044,23697.5,23697.5,23677.6,23679.5
778838,1677689677,23719.94,23720.3,23713.18,23715.62
778839,1677690085,23696.35,23706.24,23693.84,23693.84
778840,1677691450,23733.76,23734.54,23714.16,23716.9
778841,1677692244,23713.68,23714.21,23708.55,23709.95
778842,1677692523,23712.97,23724.06,23712.87,23719.6
778843,1677692648,23729.92,23731.89,23727.54,23728.49
778844,1677692832,23729.49,23730.91,23721.25,23724.93
778845,1677693192,23733.16,23735.1,23730.42,23730.42
778846,1677693634,23711.06,23712.26,23709.91,23711.03
778847,1677694704,23713.15,23724.1,23713.15,23724.1
778848,1677695157,23703.09,23703.09,23701.53,23702.57
778849,1677696019,23704.21,23705.48,23699.17,23699.28
778850,1677696471,23678.83,23679.21,23676.49,23679.21
778851,1677696514,23679.21,23681.29,23667.61,23681.29
778852,1677697249,23698.08,23698.08,23687.07,23693.34
778853,1677697798,23638.96,23647.15,23638.47,23642.64
778854,1677697885,23659.78,23664.48,23659.71,23662.76
778855,1677698239,23660.65,23682.16,23660.49,23671.39
778856,1677698952,23658.96,23662.54,23653.78,23653.78
778857,1677699206,23640.95,23641.21,23637.35,23637.98
778858,1677699388,23625.34,23632.73,23624.54,23631.97
778859,1677699470,23631.97,23636.46,23622.77,23623.49
778860,1677700104,23612.58,23612.58,23566.82,23574.0
778861,1677700316,23410.79,23410.79,23372.47,23374.89
778862,1677700721,23370.62,23375.97,23345.34,23352.58
778863,1677701073,23394.19,23417.29,23394.19,23401.97
778864,1677701669,23427.86,23439.36,23426.26,23438.21
778865,1677701693,23427.86,23439.36,23426.26,23438.21
778866,1677702515,23416.73,23424.76,23416.73,23420.61
778867,1677702788,23426.0,23426.93,23415.73,23417.84
778868,1677703429,23418.19,23439.11,23411.46,23439.11
778869,1677704688,23399.14,23399.81,23385.14,23385.14
778870,1677705177,23397.22,23409.39,23397.22,23405.77
778871,1677705449,23411.95,23423.96,23411.6,23420.86
778872,1677706257,23495.76,23496.52,23479.13,23485.46
778873,1677706992,23551.66,23551.7,23528.14,23540.21
778874,1677707383,23539.96,23539.97,23537.15,23537.77
778875,1677707489,23546.94,23572.14,23546.94,23568.71
778876,1677707530,23568.71,23569.0,23564.13,23564.66
778877,1677707955,23544.8,23563.33,23544.8,23557.94
778878,1677709353,23502.98,23503.34,23483.27,23483.48
778879,1677709758,23474.68,23475.36,23469.21,23475.17
778880,1677709824,23475.17,23475.27,23469.47,23470.77
778881,1677709910,23470.77,23482.76,23468.33,23482.76
778882,1677710218,23499.51,23499.94,23484.9,23492.57
778883,1677710303,23474.08,23482.83,23473.87,23477.39
778884,1677711431,23526.94,23526.94,23523.17,23523.82
778885,1677711851,23524.06,23524.38,23515.28,23515.43
778886,1677712655,23519.66,23522.57,23518.65,23521.54
778887,1677713147,23546.05,23546.05,23536.27,23537.14
778888,1677713686,23584.31,23648.86,23584.31,23639.62
778889,1677713919,23618.48,23620.22,23602.47,23617.35
778890,1677713952,23617.35,23618.17,23608.09,23608.09
778891,1677714735,23655.8,23656.91,23641.56,23642.46
778892,1677715331,23644.03,23645.93,23634.04,23634.5
778893,1677715795,23641.83,23646.42,23641.65,23645.77
778894,1677715939,23659.71,23662.6,23656.56,23656.72
778895,1677717285,23697.7,23697.85,23684.69,23684.72
778896,1677717337,23684.72,23687.83,23677.71,23677.78
778897,1677717827,23667.69,23671.4,23667.69,23670.0
778898,1677717969,23669.28,23669.8,23660.75,23660.75
778899,1677718290,23643.77,23653.79,23641.58,23652.25
778900,1677718448,23633.42,23637.61,23632.48,23637.02
778901,1677719124,23602.81,23604.5,23591.02,23591.02
778902,1677719866,23612.19,23633.63,23612.19,23632.64
778903,1677720918,23559.76,23565.97,23558.2,23563.04
778904,1677721864,23535.13,23535.13,23517.54,23528.35
778905,1677723198,23520.99,23526.1,23519.12,23526.1
778906,1677723226,23520.99,23526.1,23519.12,23526.1
778907,1677723716,23510.35,23510.35,23507.0,23509.64
778908,1677723749,23509.64,23509.64,23498.95,23508.47
778909,1677723938,23514.13,23518.13,23513.69,23514.04
778910,1677723985,23514.04,23525.63,23511.88,23525.63
778911,1677724800,23507.58,23508.08,23500.96,23507.37
778912,1677725804,23494.22,23494.39,23478.19,23481.21
778913,1677726367,23480.46,23481.88,23461.57,23461.6
778914,1677727032,23488.19,23493.18,23485.05,23493.18
778915,1677727386,23493.63,23500.52,23493.25,23500.52
778916,1677727411,23493.63,23500.52,23493.25,23500.52
778917,1677728932,23481.92,23486.96,23481.82,23486.89
778918,1677729671,23497.59,23498.83,23494.85,23497.87
778919,1677730302,23491.89,23492.07,23488.04,23491.38
778920,1677730484,23493.26,23493.81,23492.45,23493.42
778921,1677732036,23518.34,23518.49,23512.37,23515.13
778922,1677733299,23537.58,23538.82,23534.94,23537.19
778923,1677733358,23537.19,23543.16,23537.1,23543.09
778924,1677733462,23534.72,23537.38,23534.27,23535.49
778925,1677733591,23537.02,23537.02,23530.38,23531.56
778926,1677734518,23495.4,23505.44,23495.4,23505.17
778927,1677734803,23501.2,23503.31,23496.05,23496.05
778928,1677735732,23450.38,23455.17,23449.34,23454.87
778929,1677735999,23467.22,23467.59,23463.71,23464.63
778930,1677736721,23443.26,23443.44,23441.51,23442.64
778931,1677737872,23418.99,23431.46,23418.58,23430.55
778932,1677739582,23461.34,23463.09,23450.74,23451.12
778933,1677739729,23441.92,23444.46,23439.07,23441.94
778934,1677739754,23441.94,23441.94,23433.11,23440.45
778935,1677739945,23440.56,23460.2,23439.07,23459.29
778936,1677740878,23426.1,23433.89,23426.1,23433.89
778937,1677743056,23392.1,23410.18,23390.3,23408.26
778938,1677743487,23408.94,23410.97,23406.45,23407.9
778939,1677744730,23393.17,23396.87,23392.33,23394.5
778940,1677744901,23394.72,23395.92,23392.78,23394.38
778941,1677744917,23394.72,23395.92,23392.78,23394.38
778942,1677745332,23392.88,23396.23,23391.69,23391.69
778943,1677745921,23389.47,23389.47,23377.55,23379.5
778944,1677746200,23363.66,23380.48,23363.66,23379.01
778945,1677746222,23379.01,23379.96,23372.01,23373.86
778946,1677746239,23379.01,23379.96,23372.01,23373.86
778947,1677747424,23438.74,23440.97,23438.13,23440.28
778948,1677748193,23445.12,23453.18,23444.67,23451.13
778949,1677749520,23452.29,23453.98,23451.76,23453.87
778950,1677752352,23395.45,23400.86,23394.65,23399.94
778951,1677752676,23408.51,23408.51,23398.57,23398.77
778952,1677752839,23391.63,23391.63,23381.21,23383.96
778953,1677752868,23391.63,23391.63,23381.21,23383.96
778954,1677753140,23405.62,23409.83,23401.04,23409.83
778955,1677753797,23397.83,23402.95,23396.95,23400.79
778956,1677753834,23397.83,23402.95,23396.95,23400.79
778957,1677753951,23399.65,23399.84,23393.63,23395.3
778958,1677754428,23367.18,23367.23,23348.19,23349.06
778959,1677754932,23386.95,23387.92,23384.81,23387.02
778960,1677755401,23376.18,23376.18,23367.02,23369.99
778961,1677755506,23369.99,23385.16,23369.99,23384.58
778962,1677756050,23381.73,23383.28,23373.72,23374.98
778963,1677757132,23393.16,23409.12,23393.16,23408.82
778964,1677757434,23418.26,23420.46,23415.58,23415.98
778965,1677757501,23413.78,23414.98,23411.35,23412.85
778966,1677758059,23421.89,23427.62,23421.88,23427.62
778967,1677758853,23419.42,23422.72,23418.25,23420.22
778968,1677759581,23400.66,23400.76,23396.44,23396.6
778969,1677759610,23396.6,23397.8,23395.86,23397.36
778970,1677759710,23397.36,23397.37,23387.41,23388.17
778971,1677759884,23374.55,23377.55,23373.82,23375.76
778972,1677759891,23374.55,23377.55,23373.82,23375.76
778973,1677760269,23369.73,23370.51,23330.86,23341.54
778974,1677761075,23337.21,23344.68,23335.28,23342.0
778975,1677761078,23337.21,23344.68,23335.28,23342.0
778976,1677761413,23351.01,23353.65,23349.43,23352.61
778977,1677761545,23338.4,23339.44,23333.86,23339.39
778978,1677761914,23350.49,23353.28,23350.49,23350.72
778979,1677762132,23362.73,23369.13,23362.73,23368.67
778980,1677762645,23343.52,23343.76,23336.33,23343.76
778981,1677762675,23343.76,23345.54,23332.67,23334.18
778982,1677763403,23389.04,23398.11,23382.78,23391.3
